nombre,categoria,cocina,comuna,barrio,lat,long,geometry
BAR TUCUMAN,CAFE,MINUTAS,Comuna 1,San Nicolas,-34.6012373788545,-58.3792963732862,POINT (-58.3792963732862 -34.6012373788545)
BAR UNO,CAFE,MINUTAS,Comuna 1,San Nicolas,-34.5995456440951,-58.3796704152538,POINT (-58.3796704152538 -34.5995456440951)
BAR URIARTE,RESTAURANTE,ITALIANA,Comuna 14,Palermo,-34.5876535042333,-58.4324650172254,POINT (-58.4324650172254 -34.5876535042333)
BAR VILAS,RESTAURANTE,SANDWICHERIA,Comuna 14,Palermo,-34.5887142745057,-58.4104299742227,POINT (-58.4104299742227 -34.5887142745057)
BAR VITO'S,BAR,MINUTAS,Comuna 14,Palermo,-34.5887142745057,-58.4104299742227,POINT (-58.4104299742227 -34.5887142745057)
BAR YASE,CAFE,MINUTAS,Comuna 7,Flores,-34.6253451637158,-58.4719247285751,POINT (-58.4719247285751 -34.6253451637158)
BAS BUENOS AIRES,RESTAURANTE,TRADICIONAL,Comuna 1,Puerto Madero,-34.6007296786576,-58.3646861586982,POINT (-58.3646861586982 -34.6007296786576)
BASE CAFE,PUB,MINUTAS,Comuna 1,Monserrat,-34.6096068248592,-58.3871257221085,POINT (-58.3871257221085 -34.6096068248592)
BAVIERA,RESTAURANTE,MEDITERRANEA,Comuna 13,Belgrano,-34.5628226277311,-58.4574400743387,POINT (-58.4574400743387 -34.5628226277311)
BAY BEN BAR NUEVO CAFE,BAR,MINUTAS,Comuna 1,San Nicolas,-34.6030361158772,-58.3889321512944,POINT (-58.3889321512944 -34.6030361158772)
BAY GENESIS,CAFE,MINUTAS,Comuna 3,Balvanera,-34.6045377108646,-58.3936453374267,POINT (-58.3936453374267 -34.6045377108646)
BAYONA,BAR,INTERNACIONAL,Comuna 1,San Nicolas,-34.60121755938,-58.3788277703066,POINT (-58.3788277703066 -34.60121755938)
B & B,RESTAURANTE,MINUTAS,Comuna 14,Palermo,-34.5864071338423,-58.4104239675775,POINT (-58.4104239675775 -34.5864071338423)
BELGRANO 901,BAR,MINUTAS,Comuna 1,Monserrat,-34.6128715059192,-58.3791469673373,POINT (-58.3791469673373 -34.6128715059192)
BELLAGAMBA,RESTAURANTE,TRADICIONAL,Comuna 3,Balvanera,-34.6095737187655,-58.3966665401232,POINT (-58.3966665401232 -34.6095737187655)
BELLA ITALIA,RESTAURANTE,ITALIANA,Comuna 13,Belgrano,-34.5625465809844,-58.453288629609,POINT (-58.453288629609 -34.5625465809844)
BELLA ROMA,RESTAURANTE,INTERNACIONAL,Comuna 12,Saavedra,-34.5641916179895,-58.5039192469176,POINT (-58.5039192469176 -34.5641916179895)
BELLISIMO,RESTAURANTE,INTERNACIONAL,Comuna 1,Monserrat,-34.6151283952156,-58.3776748193087,POINT (-58.3776748193087 -34.6151283952156)
BENGAL,CAFE,ITALIANA,Comuna 1,Retiro,-34.5940656828756,-58.3791920075764,POINT (-58.3791920075764 -34.5940656828756)
BENITA,RESTAURANTE,INTERNACIONAL,Comuna 2,Recoleta,-34.5908206753327,-58.4022863370263,POINT (-58.4022863370263 -34.5908206753327)
BERALDI,BAR,PORTEA'A,Comuna 14,Palermo,-34.5845748691511,-58.4218476354773,POINT (-58.4218476354773 -34.5845748691511)
BEREBER,BAR,MARROQUI,Comuna 14,Palermo,-34.5882586447196,-58.4256081050185,POINT (-58.4256081050185 -34.5882586447196)
BESARES BUENO,RESTAURANTE,MEDITERRANEA,Comuna 13,NuAfA+-ez,-34.5419988059717,-58.4641232772539,POINT (-58.4641232772539 -34.5419988059717)
BICE,RESTAURANTE,ITALIANA,Comuna 1,Puerto Madero,-34.599966649833,-58.3674721252562,POINT (-58.3674721252562 -34.599966649833)
